step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,128,5,2,171.25691,0.071125336,-2.866983325313589,False
1,86.73498,256,3,1,193.53685,0.0426752,-2.216668785749396,False
2,85.843094,128,3,2,168.67683,0.0426752,-1.9915527812714187,False
3,83.042206,256,3,2,141.63216,0.0853504,-3.06200372463887,False
4,82.9147,128,3,2,167.16638,0.0426752,-1.9788711040945395,False
5,80.17021,128,5,1,215.75081,0.035562668,-4.230590421459617,True
6,80.667946,128,3,2,166.00755,0.0426752,-1.969218636618539,False
7,80.41011,256,3,2,140.27457,0.0853504,-3.052435790891386,False
8,77.458046,128,3,2,164.35191,0.0426752,-1.9555448322845292,False
9,75.29532,256,3,2,137.63641,0.0853504,-3.03410653768137,False
10,74.93912,128,3,2,163.05269,0.0426752,-1.9449104627942648,False
11,74.898994,256,3,2,137.43199,0.0853504,-3.032700806214866,False
12,74.782166,128,10,2,162.97174,0.1,-4.9315146392087605,False
13,71.59139,128,5,2,161.32597,0.071125336,-2.7844117186893733,False
14,204.20323,256,3,1,254.12555,0.0426752,-5.748254828540248,True
15,219.87625,512,3,2,161.0095,0.1,-9.183141469341313,False
16,216.76665,128,3,3,186.2056,0.0640128,-4.067453165779767,False
17,187.53773,128,3,1,271.1297,0.0213376,-4.90466265540373,True
18,223.2807,256,5,3,163.96547,0.1,-11.34091690584337,False
19,113.44173,128,3,3,132.91187,0.0640128,-2.362023092296785,False
20,78.91572,512,10,3,50.0,0.1,-25.66762,False
21,76.602974,128,3,2,163.91089,0.0426752,-1.9519254414214307,False
22,137.4169,256,3,2,169.67798,0.0853504,-4.987285319050769,False
23,87.70828,256,3,1,194.03886,0.0426752,-2.2215330427769846,False
24,89.73489,1024,10,2,50.0,0.1,-34.20266000000001,False
25,89.99424,128,3,2,170.81793,0.0426752,-2.0097251773590044,False
26,92.345695,256,3,2,146.43079,0.0853504,-3.0965613903387763,False
27,92.86326,128,3,2,172.29774,0.0426752,-2.022418783939688,False
28,96.32579,256,3,2,148.48367,0.0853504,-3.111697024169707,False
29,102.545815,128,5,2,177.29189,0.071125336,-2.9195703144503193,False
30,104.673195,128,3,2,178.38916,0.0426752,-2.0758233298150404,False
31,107.628426,1024,3,3,50.0,0.1,-15.425572000000003,False
32,110.90289,512,3,1,154.80237,0.0853504,-3.1596063040084768,False
33,111.36304,128,3,2,181.83969,0.0426752,-2.1068979264748755,False
34,112.12285,128,3,3,132.2316,0.0640128,-2.3575139210459084,False
35,117.15551,512,3,1,158.02739,0.0853504,-4.891836358100644,False
36,117.04169,256,3,1,209.16867,0.0426752,-5.227548378001323,True
37,120.43927,128,3,1,236.5211,0.0213376,-4.465435913051826,True
38,120.55243,128,3,3,136.57948,0.0640128,-3.666988820732786,False
39,120.33574,128,3,2,186.46771,0.0426752,-3.0030151927017004,False
40,122.29417,128,3,1,237.47784,0.0213376,-4.476773175379351,True
41,121.732056,128,3,3,137.18791,0.0640128,-3.6711531298832587,False
42,121.237915,128,3,2,186.93303,0.0426752,-3.0073590330536115,False
43,122.16706,256,3,2,161.81229,0.0853504,-4.922100395345009,False
44,121.19545,512,10,2,110.111145,0.1,-28.75324491527841,False
45,121.93076,512,3,1,160.4904,0.0853504,-4.911449231256084,False
46,122.94207,512,3,2,111.012024,0.1,-8.843131769970963,False
47,122.068504,512,3,3,60.561455,0.1,-12.89425224704121,False
48,122.068504,512,3,3,60.561455,0.1,-12.89425224704121,False
49,121.2421,512,3,3,60.1352,0.1,-12.892966069024025,False
50,120.8307,512,3,3,59.923004,0.1,-12.89232916330145,False
51,118.84162,128,3,3,135.69707,0.0640128,-3.6609823326043704,False
52,116.73361,128,3,2,184.60977,0.0426752,-2.9857792612536738,False
53,116.50258,128,3,1,234.49062,0.0213376,-4.4415262092802905,True
54,115.3318,128,3,3,133.88675,0.0640128,-2.3685254950981784,False
55,112.12817,512,3,1,155.43436,0.0853504,-3.164507896638511,False
56,110.155464,128,3,1,231.21684,0.0213376,-3.976658794233015,True
57,106.47751,128,3,2,179.3198,0.0426752,-2.084145814055921,False
58,103.8719,128,3,3,127.97586,0.0640128,-2.329829552554993,False
59,99.45475,512,3,1,148.89755,0.0853504,-3.1147740230530863,False
60,95.26168,128,5,2,173.5348,0.071125336,-2.8866183219760178,False
61,97.11838,128,3,2,174.49248,0.0426752,-2.041446633140307,False
62,93.400925,128,3,3,122.575066,0.0640128,-2.2960001467526427,False
63,90.373436,512,3,1,144.21352,0.0853504,-3.0804504858834774,False
