step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,512,10,1,144.45692,0.1,-9.05673505108696,False
1,86.73498,512,10,1,142.33685,0.1,-9.041534455555897,False
2,85.843094,512,10,1,141.87682,0.1,-9.038265835935166,False
3,83.042206,512,10,1,140.43216,0.1,-9.028069794988186,False
4,82.9147,512,10,1,140.3664,0.1,-9.027608132604238,False
5,80.17021,512,5,3,50.0,0.1,-12.86506,False
6,80.667946,128,3,3,116.007545,0.0640128,-2.2568277705959994,False
7,80.41011,512,5,3,50.0,0.1,-12.86506,False
8,77.458046,128,3,3,114.35192,0.0640128,-2.2472930346902302,False
9,75.29532,512,10,1,136.4364,0.1,-9.000412353048771,False
10,74.93912,512,10,1,136.25269,0.1,-8.999159863143538,False
11,74.898994,512,10,1,136.232,0.1,-8.999018886733394,False
12,74.782166,512,5,3,50.0,0.1,-12.86506,False
13,71.59139,128,3,3,111.32597,0.0640128,-2.2302207925183435,False
14,204.20323,512,10,1,202.92555,0.1,-17.254536097387422,True
15,219.87625,512,10,1,211.00949,0.1,-17.338191883550067,True
16,216.76665,512,10,1,209.4056,0.1,-17.321334332059116,True
17,187.53773,512,10,1,194.3297,0.1,-15.169167330764322,False
18,223.2807,512,10,2,162.76547,0.1,-29.112448310815438,False
19,113.44173,512,5,3,56.111866,0.1,-12.881273533093418,False
20,78.91572,128,3,3,115.103775,0.0640128,-2.2516059386880123,False
21,76.602974,512,5,3,50.0,0.1,-12.86506,False
22,137.4169,128,3,3,145.27797,0.0640128,-3.72828219831574,False
23,87.70828,512,10,1,142.83887,0.1,-9.04511354454705,False
24,89.73489,512,10,1,143.88417,0.1,-9.052606345004872,False
25,89.99424,512,10,1,144.01793,0.1,-9.053569143765952,False
26,92.345695,512,5,3,50.0,0.1,-12.86506,False
27,92.86326,128,3,3,122.297745,0.0640128,-2.2943024328624837,False
28,96.32579,512,5,3,50.0,0.1,-12.86506,False
29,102.545815,128,3,3,127.291885,0.0640128,-2.3254646013075972,False
30,104.673195,512,10,1,151.58916,0.1,-9.10952185245884,False
31,107.628426,512,10,1,153.11343,0.1,-9.121133094105865,False
32,110.90289,512,10,1,154.80237,0.1,-9.134134304008478,False
33,111.36304,512,5,3,55.039703,0.1,-12.878294218661788,False
34,112.12285,128,3,3,132.2316,0.0640128,-2.3575139210459084,False
35,117.15551,512,5,3,58.02738,0.1,-21.421779434459783,False
36,117.04169,128,3,3,134.76868,0.0640128,-3.6547049023879983,False
37,120.43927,512,10,1,159.72112,0.1,-14.862837508823834,False
38,120.55243,512,10,1,159.77948,0.1,-14.863303677711656,False
39,120.33574,512,10,1,159.66772,0.1,-14.862411124966593,False
40,122.29417,512,5,3,60.677845,0.1,-21.429645022799985,False
41,121.732056,128,3,3,137.18791,0.0640128,-3.6711531298832587,False
42,121.237915,512,5,3,60.133038,0.1,-21.427999561513953,False
43,122.16706,128,3,3,137.4123,0.0640128,-3.672693406752021,False
44,121.19545,512,10,1,160.11115,0.1,-14.865956100038751,False
45,121.93076,512,10,1,160.4904,0.1,-14.868995897922751,False
46,122.94207,512,10,1,161.01202,0.1,-14.873188511571392,False
47,122.068504,512,5,3,60.561455,0.1,-21.42929224704121,False
48,122.068504,128,3,3,137.36147,0.0640128,-3.6723442358241978,False
49,121.2421,512,5,3,60.1352,0.1,-21.428006069024025,False
50,120.8307,128,3,3,136.723,0.0640128,-3.667969502624102,False
51,118.84162,512,10,1,158.89706,0.1,-14.856273594049398,False
52,116.73361,512,10,1,157.80977,0.1,-14.847664824250087,False
53,116.50258,512,10,1,157.69061,0.1,-14.846724915590436,False
54,115.3318,512,5,3,57.086742,0.1,-12.884032404089396,False
55,112.12817,128,3,3,132.23434,0.0640128,-2.3575320554684702,False
56,110.155464,512,5,3,54.416847,0.1,-12.876589839365174,False
57,106.47751,128,3,3,129.31981,0.0640128,-2.3384743008797626,False
58,103.8719,512,10,1,151.17586,0.1,-9.10639355631621,False
59,99.45475,512,10,1,148.89755,0.1,-9.089302023053088,False
60,95.26168,512,10,1,146.73482,0.1,-9.073317666548094,False
61,97.11838,512,5,3,50.0,0.1,-12.86506,False
62,93.400925,128,3,3,122.575066,0.0640128,-2.2960001467526427,False
63,90.373436,512,5,3,50.0,0.1,-12.86506,False
64,176.56226,512,5,3,88.66866,0.1,-21.53415331024246,False
65,217.00456,512,10,1,209.52832,0.1,-17.32261955520325,True
66,217.51991,512,10,1,209.79413,0.1,-17.325406072830326,True
67,173.11113,512,5,3,86.88861,0.1,-21.526340796431143,False
68,214.69298,512,10,1,208.33603,0.1,-17.310164197553526,True
69,149.51065,512,5,3,74.715775,0.1,-21.477161183818012,False
70,81.73952,128,3,3,116.56025,0.0640128,-2.260041296374793,False
