step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,128,3,1,221.25693,0.0213376,-3.8639936279752116,True
1,86.73498,128,3,1,219.13686,0.0213376,-3.8406519508461456,True
2,85.843094,128,3,1,218.67682,0.0213376,-3.835616843465924,True
3,83.042206,128,3,1,217.23216,0.0213376,-3.819873292632047,True
4,82.9147,128,3,1,217.1664,0.0213376,-3.819159095680929,True
5,80.17021,128,3,1,215.75081,0.0213376,-3.8038384214596164,True
6,80.667946,128,3,1,216.00755,0.0213376,-3.8066095026410784,True
7,80.41011,128,3,1,215.87456,0.0213376,-3.805173620314088,True
8,77.458046,128,3,1,214.35191,0.0213376,-3.7887966298788283,True
9,75.29532,128,3,1,213.2364,0.0213376,-3.776872169535194,True
10,74.93912,128,3,1,213.05269,0.0213376,-3.7749141785605507,True
11,74.898994,128,3,1,213.03198,0.0213376,-3.774693733547683,True
12,74.782166,128,3,1,212.97174,0.0213376,-3.77405197026163,True
13,71.59139,128,3,1,211.32597,0.0213376,-3.756594644860403,True
14,204.20323,256,10,1,254.12555,0.1,-10.727028161873582,True
15,219.87625,256,10,1,262.2095,0.1,-10.831378867699835,True
16,216.76665,256,10,1,260.60562,0.1,-10.810415342698603,True
17,187.53773,256,10,1,245.52968,0.1,-10.619653991635039,True
18,223.2807,256,10,1,263.96548,0.1,-10.854477602615718,True
19,113.44173,128,3,1,232.91187,0.0213376,-3.9963264141761674,True
20,78.91572,128,3,1,215.10378,0.0213376,-3.7968687817227234,True
21,76.602974,128,3,1,213.91089,0.0213376,-3.784074649615539,True
22,137.4169,256,3,2,169.67798,0.0853504,-4.987285319050769,False
23,87.70828,128,3,1,219.63887,0.0213376,-3.846158791891953,True
24,89.73489,128,3,1,220.68416,0.0213376,-3.857665550113427,True
25,89.99424,128,3,1,220.81793,0.0213376,-3.8591420161520182,True
26,92.345695,128,3,1,222.03079,0.0213376,-3.8725697681946696,True
27,92.86326,128,3,1,222.29774,0.0213376,-3.8755351350168925,True
28,96.32579,128,3,1,224.08366,0.0213376,-3.895465305808584,True
29,102.545815,128,3,1,227.2919,0.0213376,-3.9316680275930413,True
30,104.673195,128,3,1,228.38916,0.0213376,-3.944168235330342,True
31,107.628426,128,3,1,229.91344,0.0213376,-3.9616326818315817,True
32,110.90289,128,3,1,231.60237,0.0213376,-3.9811193849975814,True
33,111.36304,128,3,1,231.8397,0.0213376,-3.983869180344389,True
34,112.12285,128,3,1,232.23161,0.0213376,-3.988415936232829,True
35,117.15551,256,3,2,159.22739,0.0853504,-4.901354001184334,False
36,117.04169,256,3,2,159.16869,0.0853504,-4.900886687400971,False
37,120.43927,256,3,2,160.92111,0.0853504,-4.914910108889895,False
38,120.55243,256,3,2,160.97948,0.0853504,-4.915379779509411,False
39,120.33574,256,3,2,160.86772,0.0853504,-4.914480521034334,False
40,122.29417,256,3,2,161.87784,0.0853504,-4.922630920090888,False
41,121.732056,256,3,2,161.5879,0.0853504,-4.920286391400211,False
42,121.237915,256,3,2,161.33305,0.0853504,-4.91822874226958,False
43,122.16706,256,3,2,161.81229,0.0853504,-4.922100395345009,False
44,121.19545,256,3,2,161.31114,0.0853504,-4.918052101806332,False
45,121.93076,256,3,2,161.69041,0.0853504,-4.9211146553977905,False
46,122.94207,256,3,2,162.21202,0.0853504,-4.925338566703136,False
47,122.068504,256,3,2,161.76144,0.0853504,-4.921689211427127,False
48,122.068504,256,3,2,161.76144,0.0853504,-4.921689211427127,False
49,121.2421,256,3,2,161.3352,0.0853504,-4.918246201299336,False
50,120.8307,256,3,2,161.12302,0.0853504,-4.91653556876307,False
51,118.84162,256,3,2,160.09706,0.0853504,-4.908296751250576,False
52,116.73361,256,3,2,159.00977,0.0853504,-4.899622744314923,False
53,116.50258,256,3,2,158.89061,0.0853504,-4.898675685804339,False
54,115.3318,128,3,1,233.88675,0.0213376,-4.007703207349195,True
55,112.12817,128,3,1,232.23434,0.0213376,-3.988447784649679,True
56,110.155464,128,3,1,231.21684,0.0213376,-3.976658794233015,True
57,106.47751,128,3,1,229.31981,0.0213376,-3.954817327232078,True
58,103.8719,128,3,1,227.97586,0.0213376,-3.939452879111956,True
59,99.45475,128,3,1,225.69756,0.0213376,-3.9136126218372955,True
60,95.26168,128,3,1,223.53482,0.0213376,-3.8893233656848323,True
61,97.11838,128,3,1,224.49248,0.0213376,-3.900049831342679,True
62,93.400925,128,3,1,222.57507,0.0213376,-3.8786194576868014,True
63,90.373436,128,3,1,221.01352,0.0213376,-3.8613024038091237,True
64,176.56226,256,10,1,239.86867,0.1,-10.550957761924021,True
65,217.00456,256,10,1,260.7283,0.1,-10.812014712880494,True
66,217.51991,256,10,1,260.99414,0.1,-10.815481707807042,True
67,173.11113,256,3,2,188.08862,0.0853504,-5.151953201161219,False
68,214.69298,256,10,1,259.53604,0.1,-10.796507100032949,True
69,149.51065,256,3,2,175.91577,0.0853504,-5.041179016115472,False
70,81.73952,128,3,1,216.56026,0.0213376,-3.812586545837071,True
71,81.47877,128,3,1,216.42577,0.0213376,-3.8111307214457693,True
72,92.63832,128,3,1,222.18172,0.0213376,-3.874245922361049,True
73,78.56524,128,3,1,214.92299,0.0213376,-3.794925352359055,True
74,75.94558,128,3,1,213.57181,0.0213376,-3.780450921069384,True
75,74.3039,128,3,1,212.72505,0.0213376,-3.7714266696228327,True
76,74.922226,128,3,1,213.04398,0.0213376,-3.774821370235002,True
77,77.173676,128,3,1,214.20525,0.0213376,-3.7872251663779157,True
78,77.24239,128,3,1,214.24069,0.0213376,-3.7876048111093152,True
79,78.197464,128,3,1,214.7333,0.0213376,-3.792887773342795,True
80,79.998985,128,3,1,215.66249,0.0213376,-3.8028858980545204,True
81,79.8721,128,3,1,215.59705,0.0213376,-3.8021802985073223,True
82,80.12828,128,3,1,215.7292,0.0213376,-3.803605124757542,True
83,83.48328,128,3,1,217.45967,0.0213376,-3.822345589694097,True
84,83.859344,128,3,1,217.65363,0.0213376,-3.824455577665624,True
85,85.82533,128,3,1,218.66766,0.0213376,-3.835516680350414,True
86,88.66658,128,3,1,220.13315,0.0213376,-3.8515930362328623,True
87,91.07124,128,3,1,221.37344,0.0213376,-3.865283007586733,True
88,89.514656,128,3,1,220.57056,0.0213376,-3.8564124313687036,True
89,99.972046,128,3,1,225.96436,0.0213376,-3.9166253751688505,True
90,99.271965,128,3,1,225.60327,0.0213376,-3.9125489249736014,True
91,95.12803,128,3,1,223.46588,0.0213376,-3.8885530053472825,True
92,102.49797,128,3,1,227.2672,0.0213376,-3.931387595094578,True
93,103.93254,128,3,1,228.00716,0.0213376,-3.9398094186581165,True
94,102.549065,128,3,1,227.29356,0.0213376,-3.9316870789676948,True
95,104.27961,128,3,1,228.18616,0.0213376,-3.9418510417754313,True
96,107.56791,128,3,1,229.88223,0.0213376,-3.96127388486807,True
97,109.35323,128,3,1,230.80307,0.0213376,-3.971879418574039,True
98,112.362564,128,3,1,232.35524,0.0213376,-3.9898520018451267,True
99,116.64834,256,3,2,158.9658,0.0853504,-4.899273136324772,False
100,117.34946,256,3,2,159.32742,0.0853504,-4.902150670299904,False
101,118.76641,256,3,2,160.05827,0.0853504,-4.907986259011522,False
102,120.83186,256,3,2,161.1236,0.0853504,-4.916540419201336,False
103,121.3529,256,3,2,161.39235,0.0853504,-4.9187072679066635,False
104,121.14904,256,3,2,161.2872,0.0853504,-4.917859015033604,False
105,124.135086,256,3,2,162.82736,0.0853504,-4.930338804207657,False
106,122.55555,256,3,2,162.01266,0.0853504,-4.923722578516083,False
107,121.827385,256,3,2,161.63708,0.0853504,-4.92068368140775,False
108,124.135086,256,3,2,162.82736,0.0853504,-4.930338804207657,False
109,124.3089,256,3,2,162.91702,0.0853504,-4.931068851362852,False
110,121.14904,256,3,2,161.2872,0.0853504,-4.917859015033604,False
111,120.44114,256,3,2,160.92207,0.0853504,-4.91491786620793,False
112,120.20338,256,3,2,160.79944,0.0853504,-4.913931476743018,False
113,119.03726,256,3,2,160.19797,0.0853504,-4.909104799278369,False
114,179.32448,256,10,1,241.29338,0.1,-10.568095800343778,True
115,218.20699,256,10,1,261.3485,0.1,-10.820109451776172,True
116,212.756,256,10,1,258.53696,0.1,-10.783567302784016,True
117,176.50665,256,10,1,239.83998,0.1,-10.55061381842329,True
118,216.86504,256,10,1,260.65637,0.1,-10.81107666359016,True
119,142.90785,256,3,2,172.51013,0.0853504,-5.011513657517158,False
120,105.99411,128,3,1,229.07047,0.0213376,-3.9519600540920305,True
121,113.24608,128,3,1,232.81094,0.0213376,-3.9951514774660084,True
122,143.9886,256,3,2,173.06757,0.0853504,-5.016329606540265,False
123,97.600494,128,3,1,224.74115,0.0213376,-3.9028426037842303,True
124,97.70202,128,3,1,224.7935,0.0213376,-3.903431101163325,True
125,92.764534,128,3,1,222.24683,0.0213376,-3.8749692205882647,True
126,92.910095,128,3,1,222.3219,0.0213376,-3.875803661711097,True
127,91.08137,128,3,1,221.37866,0.0213376,-3.865340808239968,True
128,88.06253,128,3,1,219.82158,0.0213376,-3.8481662124948985,True
129,89.14672,128,3,1,220.38078,0.0213376,-3.854320376232465,True
130,85.56962,128,3,1,218.53577,0.0213376,-3.8340750633549576,True
131,86.47506,128,3,1,219.00278,0.0213376,-3.8391834967703695,True
132,84.25231,128,3,1,217.85631,0.0213376,-3.8266623906335098,True
133,80.38634,128,3,1,215.8623,0.0213376,-3.8050412721984506,True
134,78.4176,128,3,1,214.84686,0.0213376,-3.794107188030624,True
135,77.50612,128,3,1,214.37672,0.0213376,-3.7890623920479354,True
136,74.915886,128,3,1,213.04071,0.0213376,-3.774786536653391,True
137,74.834206,128,3,1,212.99858,0.0213376,-3.7743378139232027,True
138,73.438835,128,3,1,212.27885,0.0213376,-3.7666858487165205,True
139,75.51635,128,3,1,213.35042,0.0213376,-3.7780879974663835,True
140,77.0758,128,3,1,214.15475,0.0213376,-3.7866845329313876,True
141,78.51772,128,3,1,214.89848,0.0213376,-3.794661999575536,True
142,78.287834,128,3,1,214.7799,0.0213376,-3.7933882833747004,True
143,81.98163,128,3,1,216.68513,0.0213376,-3.8139391164455367,True
144,83.11054,128,3,1,217.26741,0.0213376,-3.8202561641979567,True
145,81.91213,128,3,1,216.64928,0.0213376,-3.8135507916969353,True
146,82.22753,128,3,1,216.81197,0.0213376,-3.815313668390639,True
147,84.02262,128,3,1,217.73785,0.0213376,-3.8253722522323965,True
148,83.21901,128,3,1,217.32336,0.0213376,-3.820864004713072,True
149,85.83479,128,3,1,218.67255,0.0213376,-3.8355700313157657,True
150,90.49071,128,3,1,221.07402,0.0213376,-3.8619709194547736,True
151,93.27758,128,3,1,222.51144,0.0213376,-3.8779115525636945,True
152,93.492935,128,3,1,222.62253,0.0213376,-3.8791476612121363,True
153,94.360794,128,3,1,223.07014,0.0213376,-3.884135308392967,True
154,96.10596,128,3,1,223.97028,0.0213376,-3.8941952141614067,True
155,100.23569,128,3,1,226.10034,0.0213376,-3.9181622031795387,True
156,103.21108,128,3,1,227.63503,0.0213376,-3.935570585350583,True
157,104.06721,128,3,1,228.0766,0.0213376,-3.9406014002688567,True
158,107.42892,128,3,1,229.81052,0.0213376,-3.960449994276577,True
159,110.58592,128,3,1,231.43887,0.0213376,-3.9792268231549515,True
160,111.78586,128,3,1,232.05779,0.0213376,-3.9863984185516843,True
161,112.34498,128,3,1,232.34618,0.0213376,-3.989746624774836,True
162,116.781685,256,3,2,159.03458,0.0853504,-4.899819895031146,False
163,116.99742,256,3,2,159.14584,0.0853504,-4.900705026898179,False
164,188.95065,256,10,1,246.25845,0.1,-10.628613953278784,True
165,222.68425,256,10,1,263.65784,0.1,-10.850419624366227,True
166,217.68298,256,10,1,261.07825,0.1,-10.81657949384224,True
167,190.72227,256,10,1,247.17223,0.1,-10.639886142255005,True
168,213.69128,256,10,1,259.01938,0.1,-10.789809160392153,True
169,150.11543,256,3,2,176.2277,0.0853504,-5.04392520065062,False
170,121.63744,256,3,2,161.53911,0.0853504,-4.9198921145991825,False
171,126.981895,256,3,2,164.29573,0.0853504,-4.942347081374514,False
172,164.35255,256,3,2,183.57104,0.0853504,-5.1099782667014235,False
173,126.969345,256,3,2,164.28926,0.0853504,-4.942293905482998,False
174,136.6876,256,3,2,169.3018,0.0853504,-4.984097545676738,False
175,126.27279,256,3,2,163.92996,0.0853504,-4.939345880123967,False
176,125.47089,256,3,2,163.51637,0.0853504,-4.935960021421121,False
177,124.22683,256,3,2,162.8747,0.0853504,-4.93072414314803,False
178,120.34273,256,3,2,160.8713,0.0853504,-4.9145094828660785,False
179,118.4804,256,3,2,159.91075,0.0853504,-4.906806174865266,False
180,114.74544,128,3,1,233.5843,0.0213376,-4.004168660973697,True
181,110.87904,128,3,1,231.59006,0.0213376,-3.980976938552382,True
182,107.42892,128,3,1,229.81052,0.0213376,-3.960449994276577,True
183,104.66801,128,3,1,228.38649,0.0213376,-3.9441376781662703,True
184,103.95324,128,3,1,228.01782,0.0213376,-3.939931132395437,True
185,103.43726,128,3,1,227.75168,0.0213376,-3.936898736930258,True
186,96.99732,128,3,1,224.43005,0.0213376,-3.8993490744084633,True
187,95.30431,128,3,1,223.55681,0.0213376,-3.8895691499759155,True
188,86.732605,128,3,1,219.13562,0.0213376,-3.8406385415564777,True
189,90.69629,128,3,1,221.18005,0.0213376,-3.86314329652587,True
190,89.87573,128,3,1,220.75682,0.0213376,-3.858467238391006,True
191,85.244965,128,3,1,218.36832,0.0213376,-3.832246047455643,True
192,83.529816,128,3,1,217.48366,0.0213376,-3.822606603629343,True
193,82.765495,128,3,1,217.08943,0.0213376,-3.818323590615021,True
194,80.49708,128,3,1,215.91942,0.0213376,-3.805657842317418,True
195,77.92734,128,3,1,214.59398,0.0213376,-3.7913923418019744,True
196,78.63125,128,3,1,214.95705,0.0213376,-3.7952912545249546,True
197,77.320564,128,3,1,214.28102,0.0213376,-3.7880367560155412,True
198,78.879456,128,3,1,215.08507,0.0213376,-3.7966676279706086,True
199,78.50797,128,3,1,214.89345,0.0213376,-3.794607962689107,True
200,72.45354,128,3,1,211.77065,0.0213376,-3.7612982485715585,True
201,75.42902,128,3,1,213.30537,0.0213376,-3.7776075647485685,True
202,76.56841,128,3,1,213.89307,0.0213376,-3.783883996383129,True
203,74.35815,128,3,1,212.75304,0.0213376,-3.771724279938401,True
204,74.782166,128,3,1,212.97174,0.0213376,-3.77405197026163,True
205,75.263176,128,3,1,213.21983,0.0213376,-3.7766954164001927,True
206,78.018456,128,3,1,214.64098,0.0213376,-3.791896665870314,True
207,79.97776,128,3,1,215.65155,0.0213376,-3.802767851875695,True
