step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,128,3,1,221.25693,0.0213376,-3.8639936279752116,True
1,86.73498,512,5,1,142.33685,0.1,-4.774014455555896,False
2,85.843094,128,3,3,118.67683,0.0640128,-2.272488719076913,False
3,83.042206,128,3,2,167.23216,0.0426752,-1.9794208905201574,False
4,82.9147,256,3,2,141.56639,0.0853504,-3.0615381164023088,False
5,80.17021,128,3,2,165.75082,0.0426752,-1.9670893684021986,False
6,80.667946,256,3,2,140.40755,0.0853504,-3.053368977214999,False
7,80.41011,128,3,2,165.87456,0.0426752,-1.9681152251932534,False
8,77.458046,256,5,2,138.75192,0.1,-4.748822375916249,False
9,75.29532,128,3,3,113.23641,0.0640128,-2.2409461168184954,False
10,74.93912,512,5,3,50.0,0.1,-12.86506,False
11,74.898994,128,3,2,163.032,0.0426752,-1.9447417551529629,False
12,74.782166,256,3,2,137.37173,0.0853504,-3.0322868217096897,False
13,71.59139,128,3,2,161.32597,0.0426752,-1.9309077186893733,False
14,204.20323,128,3,1,279.72552,0.0213376,-5.0230395274499955,True
15,219.87625,128,5,1,287.8095,0.035562668,-5.848991026441384,True
16,216.76665,512,5,3,109.40561,0.1,-21.636839649820544,False
17,187.53773,128,10,1,271.1297,0.071125336,-7.394049322070397,True
18,223.2807,128,3,1,289.56546,0.0213376,-5.163084074322773,True
19,113.44173,256,5,2,157.31186,0.1,-4.886195566835355,False
20,78.91572,128,5,2,165.10378,0.071125336,-2.815241360205368,False
21,76.602974,256,3,1,188.31088,0.0426752,-2.1667807190201556,False
22,137.4169,128,3,1,245.27797,0.0213376,-4.570912037393724,True
23,87.70828,128,3,1,219.63887,0.0213376,-3.846158791891953,True
24,89.73489,256,10,1,195.08417,0.1,-5.218965815077242,False
25,89.99424,128,10,2,170.81793,0.1,-4.996989177359005,False
26,92.345695,512,10,3,50.0,0.1,-25.66762,False
27,92.86326,1024,10,1,50.0,0.1,-17.132580000000004,False
28,96.32579,512,3,1,147.28368,0.0853504,-3.102824003826233,False
29,102.545815,128,5,2,177.29189,0.071125336,-2.9195703144503193,False
30,104.673195,1024,5,1,50.0,0.1,-8.597540000000002,False
31,107.628426,512,3,1,153.11343,0.0853504,-3.1466050941058628,False
32,110.90289,128,3,2,181.60236,0.0426752,-2.1047414728952996,False
33,111.36304,128,3,3,131.8397,0.0640128,-2.3549266726053615,False
34,112.12285,512,3,1,155.4316,0.0853504,-3.1644865805692746,False
35,117.15551,256,3,1,209.22737,0.0426752,-5.2281624630047645,True
36,117.04169,128,3,1,234.76868,0.0213376,-4.444788283588703,True
37,120.43927,128,3,3,136.52112,0.0640128,-3.66659035199107,False
38,120.55243,128,3,2,186.57947,0.0426752,-3.0040575067504607,False
39,120.33574,1024,10,3,50.0,0.1,-85.41290000000001,False
40,122.29417,256,10,2,161.87784,0.1,-14.880177586757556,False
41,121.732056,128,5,1,237.18793,0.035562668,-5.184586059597541,True
42,121.237915,256,3,1,211.33304,0.0426752,-5.250301341457142,True
43,122.16706,128,3,2,187.4123,0.0426752,-3.0118441210819125,False
44,121.19545,128,3,1,236.91113,0.0213376,-4.470052213163965,True
45,121.93076,128,3,3,137.2904,0.0640128,-3.671856364516428,False
46,122.94207,128,3,2,187.81203,0.0426752,-3.015593965069222,False
47,122.068504,256,10,2,161.76144,0.1,-14.879235878093795,False
48,122.068504,128,5,1,237.36147,0.035562668,-5.186644846218714,True
49,121.2421,128,3,2,186.9352,0.0426752,-3.0073792624282683,False
50,120.8307,128,3,1,236.723,0.0213376,-4.4678245277838045,True
51,118.84162,128,3,3,135.69707,0.0640128,-3.6609823326043704,False
52,116.73361,128,3,2,184.60977,0.0426752,-2.9857792612536738,False
53,116.50258,128,3,1,234.49062,0.0213376,-4.4415262092802905,True
54,115.3318,256,10,2,158.28674,0.1,-9.161407320887427,False
55,112.12817,128,3,2,182.23434,0.0426752,-2.110489920059075,False
56,110.155464,128,3,3,131.21684,0.0640128,-2.3508305437421546,False
57,106.47751,512,3,1,152.5198,0.0853504,-3.1420692749935,False
58,103.8719,128,10,3,127.97586,0.1,-6.810725552554993,False
59,99.45475,128,3,3,125.69755,0.0640128,-2.3153808630036896,False
60,95.26168,512,3,1,146.73482,0.0853504,-3.0987896665480927,False
61,97.11838,128,5,2,174.49248,0.071125336,-2.8949506331403074,False
62,93.400925,128,3,2,172.57506,0.0426752,-2.024809802219722,False
63,90.373436,256,3,2,145.41353,0.0853504,-3.089139297101066,False
64,176.56226,128,3,1,265.46866,0.0213376,-4.828720321644356,True
65,217.00456,1024,3,3,50.0,0.1,-25.667620000000003,False
66,217.51991,128,5,3,186.59413,0.1,-6.204834217398169,False
67,173.11113,128,5,1,263.6886,0.035562668,-5.516425508779075,True
68,214.69298,128,3,1,285.13605,0.0213376,-5.099443884605993,True
69,149.51065,128,3,1,251.51578,0.0213376,-4.648384653681557,True
70,81.73952,128,3,1,216.56026,0.0213376,-3.812586545837071,True
71,81.47877,256,10,1,190.82576,0.1,-5.1778817508155575,False
72,92.63832,256,3,1,196.58173,0.0426752,-2.246365320207172,False
73,78.56524,128,3,2,164.92299,0.0426752,-1.9602458630293755,False
74,75.94558,256,3,2,137.9718,0.0853504,-3.0364174897462934,False
