step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,512,10,1,144.45692,0.1,-9.05673505108696,False
1,86.73498,512,10,1,142.33685,0.1,-9.041534455555897,False
2,85.843094,512,10,1,141.87682,0.1,-9.038265835935166,False
3,83.042206,512,10,1,140.43216,0.1,-9.028069794988186,False
4,82.9147,512,10,1,140.3664,0.1,-9.027608132604238,False
5,80.17021,512,10,1,138.95082,0.1,-9.017723267963426,False
6,80.667946,512,10,1,139.20753,0.1,-9.01950852443046,False
7,80.41011,512,10,1,139.07455,0.1,-9.018583317408488,False
8,77.458046,512,10,1,137.55193,0.1,-9.008053260773986,False
9,75.29532,512,10,1,136.4364,0.1,-9.000412353048771,False
10,74.93912,512,10,1,136.25269,0.1,-8.999159863143538,False
11,74.898994,512,10,1,136.232,0.1,-8.999018886733394,False
12,74.782166,512,10,1,136.17172,0.1,-8.998608517764422,False
13,71.59139,512,10,1,134.52597,0.1,-8.987470918261703,False
14,204.20323,512,10,1,202.92555,0.1,-17.254536097387422,True
15,219.87625,512,10,1,211.00949,0.1,-17.338191883550067,True
16,216.76665,512,10,1,209.4056,0.1,-17.321334332059116,True
17,187.53773,512,10,1,194.3297,0.1,-15.169167330764322,False
18,223.2807,512,10,1,212.76547,0.1,-17.356795325868276,True
19,113.44173,512,10,1,156.11186,0.1,-9.144312854972803,False
20,78.91572,512,10,1,138.30377,0.1,-9.013238310272067,False
21,76.602974,512,10,1,137.11089,0.1,-9.00502485782939,False
22,137.4169,512,10,1,168.47797,0.1,-14.9346873076485,False
23,87.70828,512,10,1,142.83887,0.1,-9.04511354454705,False
24,89.73489,512,10,1,143.88417,0.1,-9.052606345004872,False
25,89.99424,512,10,1,144.01793,0.1,-9.053569143765952,False
26,92.345695,512,10,1,145.23079,0.1,-9.062339543071223,False
27,92.86326,512,10,1,145.49774,0.1,-9.064279811762308,False
28,96.32579,512,10,1,147.28368,0.1,-9.077352003826235,False
29,102.545815,512,10,1,150.49188,0.1,-9.101235188205822,False
30,104.673195,512,10,1,151.58916,0.1,-9.10952185245884,False
31,107.628426,512,10,1,153.11343,0.1,-9.121133094105865,False
32,110.90289,512,10,1,154.80237,0.1,-9.134134304008478,False
33,111.36304,512,10,1,155.0397,0.1,-9.135972726400817,False
34,112.12285,512,10,1,155.4316,0.1,-9.139014580569276,False
35,117.15551,512,10,1,158.02739,0.1,-14.849383024767311,False
36,117.04169,512,10,1,157.96869,0.1,-14.84891923349323,False
37,120.43927,512,10,1,159.72112,0.1,-14.862837508823834,False
38,120.55243,512,10,1,159.77948,0.1,-14.863303677711656,False
39,120.33574,512,10,1,159.66772,0.1,-14.862411124966593,False
40,122.29417,512,10,1,160.67784,0.1,-14.870500916038692,False
41,121.732056,512,10,1,160.38792,0.1,-14.868173782910308,False
42,121.237915,512,10,1,160.13304,0.1,-14.866131426555746,False
43,122.16706,512,10,1,160.61229,0.1,-14.869974324867758,False
44,121.19545,512,10,1,160.11115,0.1,-14.865956100038751,False
45,121.93076,512,10,1,160.4904,0.1,-14.868995897922751,False
46,122.94207,512,10,1,161.01202,0.1,-14.873188511571392,False
47,122.068504,512,10,1,160.56145,0.1,-14.86956619076906,False
48,122.068504,512,10,1,160.56145,0.1,-14.86956619076906,False
49,121.2421,512,10,1,160.13521,0.1,-14.866148755725584,False
50,120.8307,512,10,1,159.923,0.1,-14.86445085512782,False
51,118.84162,512,10,1,158.89706,0.1,-14.856273594049398,False
52,116.73361,512,10,1,157.80977,0.1,-14.847664824250087,False
53,116.50258,512,10,1,157.69061,0.1,-14.846724915590436,False
54,115.3318,512,10,1,157.08673,0.1,-9.151946116340415,False
55,112.12817,512,10,1,155.43436,0.1,-9.139035896638513,False
56,110.155464,512,10,1,154.41684,0.1,-9.131154089856036,False
57,106.47751,512,10,1,152.5198,0.1,-9.116597274993502,False
58,103.8719,512,10,1,151.17586,0.1,-9.10639355631621,False
59,99.45475,512,10,1,148.89755,0.1,-9.089302023053088,False
60,95.26168,512,10,1,146.73482,0.1,-9.073317666548094,False
61,97.11838,512,10,1,147.69247,0.1,-9.080366710903839,False
62,93.400925,512,10,1,145.77507,0.1,-9.06629921888937,False
63,90.373436,512,10,1,144.21352,0.1,-9.05497848588348,False
64,176.56226,512,10,1,188.66867,0.1,-15.114963309150019,False
65,217.00456,512,10,1,209.52832,0.1,-17.32261955520325,True
66,217.51991,512,10,1,209.79413,0.1,-17.325406072830326,True
67,173.11113,512,10,1,186.88861,0.1,-15.09825055077575,False
68,214.69298,512,10,1,208.33603,0.1,-17.310164197553526,True
69,149.51065,512,10,1,174.71577,0.1,-14.988206736154106,False
70,81.73952,512,10,1,139.76025,0.1,-9.023363186250043,False
71,81.47877,512,10,1,139.62576,0.1,-9.022423809555134,False
