step,forecast,memory,timeout,concurrency,latency,cost,reward,sla_violated
0,90.84534,128,5,2,171.25691,0.071125336,-2.866983325313589,False
1,86.73498,128,5,2,169.13684,0.071125336,-2.8489418315165564,False
2,85.843094,128,5,2,168.67683,0.071125336,-2.8450567812714187,False
3,83.042206,128,5,2,167.23216,0.071125336,-2.8329248905201574,False
4,82.9147,128,5,2,167.16638,0.071125336,-2.83237510409454,False
5,80.17021,128,5,2,165.75082,0.071125336,-2.820593368402199,False
6,80.667946,128,5,2,166.00755,0.071125336,-2.8227226366185394,False
7,80.41011,128,5,2,165.87456,0.071125336,-2.8216192251932535,False
8,77.458046,128,5,2,164.35191,0.071125336,-2.8090488322845295,False
9,75.29532,128,5,2,163.23642,0.071125336,-2.7999131431768447,False
10,74.93912,128,5,2,163.05269,0.071125336,-2.7984144627942653,False
11,74.898994,128,5,2,163.032,0.071125336,-2.798245755152963,False
12,74.782166,128,5,2,162.97174,0.071125336,-2.7977546392087596,False
13,71.59139,128,5,2,161.32597,0.071125336,-2.7844117186893733,False
14,204.20323,128,5,2,229.72556,0.071125336,-6.875612329058562,True
15,219.87625,128,5,2,237.8095,0.071125336,-6.970100612232629,True
16,216.76665,128,5,2,236.20561,0.071125336,-6.951093840232389,True
17,187.53773,128,5,2,221.12968,0.071125336,-6.778725108980504,True
18,223.2807,128,5,2,239.56546,0.071125336,-6.991057059269932,True
19,113.44173,128,5,2,182.91187,0.071125336,-2.9701787532364765,False
20,78.91572,128,5,2,165.10378,0.071125336,-2.815241360205368,False
21,76.602974,128,5,2,163.91089,0.071125336,-2.805429441421431,False
22,137.4169,128,5,2,195.27795,0.071125336,-4.509603784521399,False
23,87.70828,128,5,2,169.63887,0.071125336,-2.8531936256517803,False
24,89.73489,128,5,2,170.68417,0.071125336,-2.862087130120877,False
25,89.99424,128,5,2,170.81793,0.071125336,-2.863229177359005,False
26,92.345695,128,5,2,172.03079,0.071125336,-2.8736247987132586,False
27,92.86326,128,5,2,172.29774,0.071125336,-2.8759227839396884,False
28,96.32579,128,5,2,174.08368,0.071125336,-2.891388124830491,False
29,102.545815,128,5,2,177.29189,0.071125336,-2.9195703144503193,False
30,104.673195,128,5,2,178.38916,0.071125336,-2.929327329815041,False
31,107.628426,128,5,2,179.91342,0.071125336,-2.94298109607265,False
32,110.90289,128,5,2,181.60236,0.071125336,-2.9582454728953,False
33,111.36304,128,5,2,181.83969,0.071125336,-2.960401926474876,False
34,112.12285,128,5,2,182.2316,0.071125336,-2.963968928639369,False
35,117.15551,128,5,2,184.8274,0.071125336,-4.41029572030306,False
36,117.04169,128,5,2,184.76868,0.071125336,-4.409753259655018,False
37,120.43927,128,5,2,186.52112,0.071125336,-4.426019799188115,False
38,120.55243,128,5,2,186.57947,0.071125336,-4.426564173417128,False
39,120.33574,128,5,2,186.46771,0.071125336,-4.4255218593683665,False
40,122.29417,128,5,2,187.47784,0.071125336,-4.434965228759997,False
41,121.732056,128,5,2,187.18791,0.071125336,-4.4322495947404,False
42,121.237915,128,5,2,186.93303,0.071125336,-4.429865699720278,False
43,122.16706,128,5,2,187.4123,0.071125336,-4.434350787748579,False
44,121.19545,128,5,2,186.91115,0.071125336,-4.429661028403625,False
45,121.93076,128,5,2,187.29039,0.071125336,-4.433209037087524,False
46,122.94207,128,5,2,187.81203,0.071125336,-4.438100631735889,False
47,122.068504,128,5,2,187.36145,0.071125336,-4.433874541021456,False
48,122.068504,128,5,2,187.36145,0.071125336,-4.433874541021456,False
49,121.2421,128,5,2,186.9352,0.071125336,-4.429885929094935,False
50,120.8307,128,5,2,186.723,0.071125336,-4.42790368187062,False
51,118.84162,128,5,2,185.69707,0.071125336,-4.418351660431294,False
52,116.73361,128,5,2,184.60977,0.071125336,-4.40828592792034,False
53,116.50258,128,5,2,184.49062,0.071125336,-4.407186339256513,False
54,115.3318,128,5,2,183.88675,0.071125336,-2.979118351223687,False
55,112.12817,128,5,2,182.23434,0.071125336,-2.963993920059075,False
56,110.155464,128,5,2,181.21686,0.071125336,-2.9547486689875853,False
57,106.47751,128,5,2,179.3198,0.071125336,-2.937649814055921,False
58,103.8719,128,5,2,177.97588,0.071125336,-2.925645215833475,False
59,99.45475,128,5,2,175.69754,0.071125336,-2.905500742420493,False
